"","year","player","position","age","AV","school","GRADE","DRAFTED BY","PK(OVR)","OVR RANK"
"1",2004,"craig krenzel","QB",22,1,"Ohio State",43,"Chicago","16(148)",269
"2",2004,"jared lorenzen","QB",23,0,"Kentucky",57,NA,NA,179
"3",2004,"j p  losman","QB",22,20,"Tulane",89,NA,NA,30
"4",2004,"eli manning","QB",23,169,"Mississippi",98,"Los Angeles","1(1)",5
"5",2004,"matt mauck","QB",25,1,"LSU",52,"Denver","24(225)",206
"6",2004,"luke mccown","QB",22,8,"Louisiana Tech",60,"Cleveland","10(106)",157
"7",2004,"john navarre","QB",23,0,"Michigan",59,"Arizona","1(202)",167
"8",2004,"cody pickett","QB",23,1,"Washington",66,"San Francisco","16(217)",125
"9",2004,"philip rivers","QB",22,218,"North Carolina State",95,"NY Giants","4(4)",14
"10",2004,"ben roethlisberger","QB",22,208,"Miami (OH)",99,NA,NA,4
"11",2004,"matt schaub","QB",22,79,"Virginia",80,"Atlanta","27(90)",65
"12",2004,"bradlee van pelt","QB",23,0,"Colorado State",47,"Denver","49(250)",242
"13",2005,"derek anderson","QB",21,22,"Oregon State",73,"Baltimore","39(213)",96
"14",2005,"brock berlin","QB",23,0,"Miami (FL)",NA,NA,NA,NA
"15",2005,"jason campbell","QB",23,54,"Auburn",86,NA,NA,46
"16",2005,"ryan fitzpatrick","QB",22,101,"Harvard",64,"Los Angeles","36(250)",142
"17",2005,"charlie frye","QB",23,8,"Akron",85,"Cleveland","3(67)",55
"18",2005,"dan orlovsky","QB",21,7,"Connecticut",67,"Detroit","9(145)",126
"19",2005,"kyle orton","QB",22,44,"Purdue",79,"Chicago","5(106)",69
"20",2005,"aaron rodgers","QB",21,231,"California",99,"Green Bay","24(24)",2
"21",2005,"alex smith","QB",20,120,"Utah",98,NA,NA,3
"22",2005,"andrew walter","QB",22,1,"Arizona State",84,"Las Vegas","5(69)",58
"23",2006,"brett basanez","QB",22,0,"Northwestern",NA,NA,NA,NA
"24",2006,"kellen clemens","QB",22,10,"Oregon",85,"NY Jets","17(49)",55
"25",2006,"brodie croyle","QB",23,2,"Alabama",81,"Kansas City","21(85)",63
"26",2006,"jay cutler","QB",22,109,"Vanderbilt",96,"Denver","11(11)",11
"27",2006,"bruce gradkowski","QB",23,8,"Toledo",63,"Tampa Bay","25(194)",136
"28",2006,"tarvaris jackson","QB",22,24,"Arkansas",65,"Minnesota","32(64)",127
"29",2006,"matt leinart","QB",22,12,"USC",98,"Arizona","10(10)",4
"30",2006,"ingle martin","QB",23,0,"Furman",NA,NA,NA,NA
"31",2006,"reggie mcneal","QB",22,0,"Texas A&M",NA,NA,NA,NA
"32",2006,"marcus vick","QB",21,0,"Virginia Tech",NA,NA,NA,NA
"33",2006,"charlie whitehurst","QB",23,7,"Clemson",77,"Los Angeles","17(81)",76
"34",2006,"vince young","QB",22,36,"Texas",97,"Tennessee","3(3)",7
"35",2007,"john beck","QB",25,4,"BYU",86,"Miami","8(40)",43
"36",2007,"trent edwards","QB",23,17,"Stanford",85,"Buffalo","28(92)",44
"37",2007,"matt gutierrez","QB",22,0,"Idaho State",NA,NA,NA,NA
"38",2007,"kevin kolb","QB",22,13,"Houston",71,"Philadelphia","4(36)",99
"39",2007,"tyler palko","QB",23,2,"Pittsburgh",50,NA,NA,192
"40",2007,"jordan palmer","QB",22,0,"Texas-El Paso",44,"Washington","31(205)",219
"41",2007,"brady quinn","QB",22,2,"Notre Dame",97,"Cleveland","22(22)",7
"42",2007,"jeff rowe","QB",22,0,"Nevada",39,"Cincinnati","14(151)",242
"43",2007,"jamarcus russell","QB",21,6,"LSU",98,NA,NA,2
"44",2007,"troy smith","QB",22,6,"Ohio State",70,"Baltimore","37(174)",104
"45",2007,"drew stanton","QB",22,10,"Michigan State",87,"Detroit","11(43)",41
"46",2007,"isaiah stanback","QB",22,0,"Washington",59,"Dallas","4(103)",153
"47",2008,"erik ainge","QB",21,0,"Tennessee",66,"NY Jets","27(162)",117
"48",2008,"colt brennan","QB",24,0,"Hawaii",NA,NA,NA,NA
"49",2008,"alex brink","QB",22,0,"Washington State",NA,NA,NA,NA
"50",2008,"brian brohm","QB",22,0,"Louisville",93,NA,NA,21
"51",2008,"dennis dixon","QB",23,2,"Oregon",NA,NA,NA,NA
"52",2008,"joe flacco","QB",23,122,"Pittsburgh",89,"Baltimore","18(18)",29
"53",2008,"matt flynn","QB",22,8,"LSU",NA,NA,NA,NA
"54",2008,"chad henne","QB",22,29,"Michigan",90,"Miami","26(57)",27
"55",2008,"josh johnson","QB",21,8,"San Diego",NA,NA,NA,NA
"56",2008,"kevin o'connell","QB",22,0,"San Diego State",NA,NA,NA,NA
"57",2008,"matt ryan","QB",22,210,"Boston Col.",98,"Atlanta","3(3)",5
"58",2008,"andre woodson","QB",23,0,"Kentucky",NA,NA,NA,NA
"59",2009,"rhett bomar","QB",23,0,"SMU",56,"NY Giants","15(151)",163
"60",2009,"tom brandstater","QB",24,0,"Fresno State",47,"Denver","1(174)",214
"61",2009,"rudy carpenter","QB",22,0,"Arizona State",NA,NA,NA,NA
"62",2009,"chase daniel","QB",22,6,"Missouri",NA,NA,NA,NA
"63",2009,"nate davis","QB",21,0,"Ball State",51,"San Francisco","35(171)",187
"64",2009,"josh freeman","QB",21,40,"Kansas State",85,"Tampa Bay","17(17)",46
"65",2009,"graham harrell","QB",23,0,"Texas Tech",43,NA,NA,236
"66",2009,"brian hoyer","QB",23,25,"Michigan State",60,NA,NA,135
"67",2009,"stephen mcgee","QB",23,2,"Texas A&M",54,"Dallas","1(101)",172
"68",2009,"curtis painter","QB",23,2,"Purdue",NA,NA,NA,NA
"69",2009,"mark sanchez","QB",22,35,"USC",95,"NY Jets","5(5)",8
"70",2009,"matthew stafford","QB",21,155,"Georgia",96,"Detroit","1(1)",7
"71",2009,"pat white","QB",23,1,"West Virginia",79,"Miami","12(44)",67
"72",2010,"sam bradford","QB",22,49,"Oklahoma",97,"Los Angeles","1(1)",3
"73",2010,"levi brown","QB",22,0,"Troy",NA,NA,NA,NA
"74",2010,"sean canfield","QB",24,0,"Oregon State",NA,NA,NA,NA
"75",2010,"jimmy clausen","QB",22,3,"Notre Dame",89,"Carolina","16(48)",35
"76",2010,"max hall","QB",24,1,"BYU",NA,NA,NA,NA
"77",2010,"mike kafka","QB",22,0,"Northwestern",NA,NA,NA,NA
"78",2010,"dan lefevour","QB",22,0,"Central Michigan",NA,NA,NA,NA
"79",2010,"thaddeus lewis","QB",25,3,"Duke",NA,NA,NA,NA
"80",2010,"colt mccoy","QB",23,19,"Texas",86,"Cleveland","21(85)",44
"81",2010,"tony pike","QB",23,0,"Cincinnati",73,"Carolina","35(204)",86
"82",2010,"zac robinson","QB",23,0,"Oklahoma State",NA,NA,NA,NA
"83",2010,"john skelton","QB",21,4,"Fordham",NA,NA,NA,NA
"84",2010,"tim tebow","QB",22,12,"Florida",78,"Denver","25(25)",65
"85",2011,"andy dalton","QB",23,116,"TCU",86,"Cincinnati","3(35)",40
"86",2011,"nathan enderle","QB",23,0,"Idaho",43,"Chicago","29(160)",227
"87",2011,"blaine gabbert","QB",21,18,"Missouri",96,"Jacksonville","10(10)",5
"88",2011,"colin kaepernick","QB",23,49,"Nevada",81,"San Francisco","4(36)",57
"89",2011,"jake locker","QB",22,16,"Washington",90,"Tennessee","8(8)",25
"90",2011,"ryan mallett","QB",22,4,"Arkansas",82,"New England","10(74)",54
"91",2011,"greg mcelroy","QB",22,1,"Alabama",49,"NY Jets","5(208)",196
"92",2011,"cam newton","QB",21,140,"Auburn",93,"Carolina","1(1)",15
"93",2011,"christian ponder","QB",23,23,"Florida State",85,"Minnesota","12(12)",45
"94",2011,"ricky stanzi","QB",23,0,"Iowa",75,"Kansas City","4(135)",87
"95",2011,"tyrod taylor","QB",21,48,"Virginia Tech",60,"Baltimore","15(180)",150
"96",2011,"scott tolzien","QB",23,3,"Wisconsin",32,NA,NA,297
"97",2011,"t j  yates","QB",23,6,"North Carolina",46,"Houston","21(152)",209
"98",2012,"b j  coleman","QB",23,0,"Tenn-Chattanooga",NA,NA,NA,NA
"99",2012,"kirk cousins","QB",23,109,"Michigan State",83,"Washington","7(102)",57
"100",2012,"austin davis","QB",22,6,"Southern Miss",NA,NA,NA,NA
"101",2012,"nick foles","QB",23,37,"Arizona",84,"Philadelphia","25(88)",54
"102",2012,"robert griffin","QB",22,38,"Baylor",NA,NA,NA,NA
"103",2012,"chandler harnish","QB",23,0,"Northern Illinois",NA,NA,NA,NA
"104",2012,"case keenum","QB",24,39,"Houston",NA,NA,NA,NA
"105",2012,"ryan lindley","QB",22,-4,"San Diego State",37,"Arizona","15(185)",244
"106",2012,"andrew luck","QB",22,80,"Stanford",99,"Indianapolis","1(1)",1
"107",2012,"kellen moore","QB",22,2,"Boise State",42,NA,NA,216
"108",2012,"brock osweiler","QB",21,15,"Arizona State",87,"Denver","25(57)",42
"109",2012,"ryan tannehill","QB",23,109,"Texas A&M",94,"Miami","8(8)",12
"110",2012,"brandon weeden","QB",28,14,"Oklahoma State",86,"Cleveland","22(22)",48
"111",2012,"russell wilson","QB",23,167,"Wisconsin",69,"Seattle","12(75)",104
"112",2013,"matt barkley","QB",22,5,"USC",87,"Philadelphia","1(98)",43
"113",2013,"tyler bray","QB",21,0,"Tennessee",65,NA,NA,131
"114",2013,"zac dysert","QB",23,0,"Miami (OH)",75,"Denver","28(234)",83
"115",2013,"mike glennon","QB",23,8,"North Carolina State",77,"Tampa Bay","11(73)",74
"116",2013,"marqueis gray","QB",23,2,"Minnesota",NA,NA,NA,NA
"117",2013,"landry jones","QB",23,4,"Oklahoma",74,"Pittsburgh","18(115)",90
"118",2013,"e j  manuel","QB",22,11,"Florida State",NA,NA,NA,NA
"119",2013,"ryan nassib","QB",22,0,"Syracuse",88,"NY Giants","13(110)",36
"120",2013,"sean renfree","QB",22,0,"Duke",50,"Atlanta","43(249)",206
"121",2013,"geno smith","QB",22,33,"West Virginia",89,"NY Jets","7(39)",28
"122",2013,"brad sorensen","QB",24,0,"Southern Utah",NA,NA,NA,NA
"123",2013,"tyler wilson","QB",23,0,"Arkansas",78,"Las Vegas","15(112)",72
"124",2014,"blake bortles","QB",21,48,"Central Florida",91,"Jacksonville","3(3)",18
"125",2014,"tajh boyd","QB",23,0,"Clemson",39,"NY Jets","37(213)",254
"126",2014,"teddy bridgewater","QB",21,53,"Louisville",89,"Minnesota","32(32)",28
"127",2014,"derek carr","QB",22,100,"Fresno State",68,"Las Vegas","4(36)",95
"128",2014,"david fales","QB",23,1,"San Jose State",63,"Chicago","7(183)",121
"129",2014,"jimmy garoppolo","QB",22,50,"East. Illinois",82,"New England","30(62)",50
"130",2014,"johnny manziel","QB",21,4,"Texas A&M",90,"Cleveland","22(22)",22
"131",2014,"a j  mccarron","QB",23,4,"Alabama",NA,NA,NA,NA
"132",2014,"zach mettenberger","QB",22,1,"LSU",60,"Tennessee","2(178)",132
"133",2014,"aaron murray","QB",23,0,"Georgia",62,"Kansas City","23(163)",122
"134",2014,"tom savage","QB",23,3,"Pittsburgh",75,"Houston","35(135)",68
"135",2014,"connor shaw","QB",22,0,"South Carolina",45,NA,NA,216
"136",2014,"logan thomas","QB",22,12,"Virginia Tech",61,"Arizona","20(120)",126
"137",2014,"keith wenning","QB",23,0,"Ball State",42,"Baltimore","18(194)",235
"138",2015,"garrett grayson","QB",23,0,"Colorado State",65,"New Orleans","11(75)",121
"139",2015,"brett hundley","QB",21,5,"UCLA",59,"Green Bay","11(147)",142
"140",2015,"sean mannion","QB",22,2,"Oregon State",68,"Los Angeles","25(89)",108
"141",2015,"marcus mariota","QB",21,60,"Oregon",93,"Tennessee","2(2)",5
"142",2015,"bryce petty","QB",23,4,"Baylor",73,"NY Jets","4(103)",81
"143",2015,"jameis winston","QB",21,66,"Florida State",97,"Tampa Bay","1(1)",1
"144",2016,"brandon allen","QB",23,4,"Arkansas",69,"Jacksonville","26(201)",105
"145",2016,"trevone boykin","QB",22,0,"TCU",NA,NA,NA,NA
"146",2016,"jacoby brissett","QB",23,35,"North Carolina State",68,"New England","28(91)",109
"147",2016,"connor cook","QB",23,0,"Michigan State",84,"Las Vegas","2(100)",40
"148",2016,"brandon doughty","QB",24,0,"Western Kentucky",39,"Miami","2(223)",272
"149",2016,"jeff driskel","QB",22,7,"Louisiana Tech",49,"San Francisco","32(207)",214
"150",2016,"jared goff","QB",21,79,"California",91,"Los Angeles","1(1)",11
"151",2016,"christian hackenberg","QB",21,0,"Penn State",81,"NY Jets","20(51)",49
"152",2016,"kevin hogan","QB",23,2,"Stanford",52,"Kansas City","23(162)",200
"153",2016,"cardale jones","QB",23,0,"Ohio State",47,"Buffalo","41(139)",235
"154",2016,"cody kessler","QB",22,5,"USC",50,"Cleveland","30(93)",209
"155",2016,"paxton lynch","QB",22,2,"Memphis",85,"Denver","26(26)",38
"156",2016,"dak prescott","QB",22,88,"Mississippi State",48,"Dallas","37(135)",230
"157",2016,"nate sudfeld","QB",22,1,"Indiana",59,"Washington","12(187)",160
"158",2016,"carson wentz","QB",23,67,"North Dakota State",91,"Philadelphia","2(2)",10
"159",2017,"c j  beathard","QB",23,8,"Iowa",59,"San Francisco","40(104)",156
"160",2017,"joshua dobbs","QB",22,1,"Tennessee",79,"Pittsburgh","29(135)",63
"161",2017,"brad kaaya","QB",21,0,"Miami (FL)",69,"Detroit","32(215)",116
"162",2017,"deshone kizer","QB",21,6,"Notre Dame",82,"Cleveland","20(52)",54
"163",2017,"patrick mahomes","QB",21,94,"Texas Tech",85,"Kansas City","10(10)",44
"164",2017,"nathan peterman","QB",22,3,"Pittsburgh",77,"Buffalo","28(171)",69
"165",2017,"cooper rush","QB",23,5,"Central Michigan",NA,NA,NA,NA
"166",2017,"mitchell trubisky","QB",22,39,"North Carolina",89,"Chicago","2(2)",27
"167",2017,"deshaun watson","QB",21,59,"Clemson",88,"Houston","12(12)",28
"168",2017,"davis webb","QB",22,1,"California",73,"NY Giants","23(87)",95
"169",2018,"josh allen","QB",21,74,"Wyoming",92,"Buffalo","7(7)",10
"170",2018,"kurt benkert","QB",22,0,"Virginia",43,NA,NA,249
"171",2018,"sam darnold","QB",20,27,"USC",94,"NY Jets","3(3)",4
"172",2018,"danny etling","QB",23,0,"LSU",NA,NA,NA,NA
"173",2018,"luke falk","QB",23,1,"Washington State",71,"Tennessee","25(199)",96
"174",2018,"lamar jackson","QB",21,74,"Louisville",87,"Baltimore","32(32)",29
"175",2018,"kyle lauletta","QB",22,0,"Richmond",78,"NY Giants","8(108)",66
"176",2018,"tanner lee","QB",23,0,"Nebraska",45,"Jacksonville","29(203)",235
"177",2018,"baker mayfield","QB",22,51,"Oklahoma",91,"Cleveland","1(1)",11
"178",2018,"josh rosen","QB",21,3,"UCLA",92,"Arizona","10(10)",9
"179",2018,"mason rudolph","QB",22,5,"Oklahoma State",79,"Pittsburgh","12(76)",62
"180",2018,"mike white","QB",22,5,"Western Kentucky",68,"Dallas","34(171)",120
"181",2018,"logan woodside","QB",23,0,"Toledo",51,"Cincinnati","31(249)",210
"182",2019,"ryan finley","QB",24,2,"North Carolina State",88,"Cincinnati","2(104)",30
"183",2019,"will grier","QB",23,1,"West Virginia",68,"Carolina","36(100)",124
"184",2019,"dwayne haskins","QB",21,4,"Ohio State",90,"Washington","15(15)",15
"185",2019,"tyree jackson","QB",21,0,"Buffalo",66,NA,NA,136
"186",2019,"daniel jones","QB",21,40,"Duke",80,"NY Giants","6(6)",59
"187",2019,"drew lock","QB",22,12,"Missouri",89,"Denver","10(42)",24
"188",2019,"trace mcsorley","QB",23,1,"Penn State",46,"Baltimore","24(197)",259
"189",2019,"gardner minshew","QB",22,21,"Washington State",49,"Jacksonville","5(178)",240
"190",2019,"kyler murray","QB",21,54,"Oklahoma",90,"Arizona","1(1)",9
"191",2019,"brett rypien","QB",22,2,"Boise State",38,NA,NA,309
"192",2019,"easton stick","QB",23,0,"North Dakota State",35,"Los Angeles","28(166)",330
"193",2019,"jarrett stidham","QB",22,4,"Auburn",81,"New England","31(133)",56
"194",2019,"clayton thorson","QB",23,0,"Northwestern",65,"Philadelphia","29(167)",138
"195",2020,"joe burrow","QB",23,39,"LSU",94,"Cincinnati","1(1)",2
"196",2020,"jacob eason","QB",22,0,"Washington",81,"Indianapolis","16(122)",56
"197",2020,"jake fromm","QB",21,1,"Georgia",82,"Buffalo","22(167)",54
"198",2020,"justin herbert","QB",21,45,"Oregon",89,"Los Angeles","6(6)",24
"199",2020,"jalen hurts","QB",21,41,"Oklahoma",70,"Philadelphia","21(53)",94
"200",2020,"jordan love","QB",21,3,"Utah State",90,"Green Bay","26(26)",20
"201",2020,"jake luton","QB",23,2,"Oregon State",47,"Jacksonville","10(189)",204
"202",2020,"cole mcdonald","QB",21,0,"Hawaii",45,"Tennessee","10(224)",213
"203",2020,"james morgan","QB",23,0,"Florida International",54,"NY Jets","19(125)",171
"204",2020,"nate stanley","QB",22,0,"Iowa",56,"Minnesota","30(244)",159
"205",2020,"tua tagovailoa","QB",22,24,"Alabama",93,"Miami","5(5)",7
"206",2021,"ian book","QB",22,0,"Notre Dame",43,"New Orleans","28(133)",221
"207",2021,"sam ehlinger","QB",22,2,"Texas",38,"Indianapolis","34(218)",247
"208",2021,"justin fields","QB",22,22,"Ohio St.",91,"Chicago","11(11)",11
"209",2021,"feleipe franks","QB",23,0,"Arkansas",39,NA,NA,239
"210",2021,"mac jones","QB",22,22,"Alabama",90,"New England","15(15)",15
"211",2021,"trey lance","QB",20,4,"North Dakota St.",92,"San Francisco","3(3)",9
"212",2021,"trevor lawrence","QB",21,21,"Clemson",97,"Jacksonville","1(1)",1
"213",2021,"davis mills","QB",22,14,"Stanford",79,"Houston","3(67)",63
"214",2021,"kyle trask","QB",23,0,"Florida",78,"Tampa Bay","32(64)",65
"215",2022,"matt corral","QB",23,0,"Mississippi",86,"Carolina","30(94)",47
"216",2022,"sam howell","QB",21,1,"North Carolina",85,"Washington","1(144)",50
"217",2022,"kenny pickett","QB",23,7,"Pittsburgh",90,"Pittsburgh","20(20)",22
"218",2022,"brock purdy","QB",22,6,"Iowa St.",31,"San Francisco","41(262)",361
"219",2022,"desmond ridder","QB",22,3,"Cincinnati",86,"Atlanta","10(74)",43
"220",2022,"skylar thompson","QB",24,2,"Kansas St.",48,"Miami","26(247)",235
"221",2022,"malik willis","QB",22,1,"Liberty",90,"Tennessee","22(86)",21
"222",2022,"bailey zappe","QB",22,2,"Western Kentucky",59,"New England","32(137)",161
